added,edges,eigenvalues,span_trees
"(4, 5, 1)","[(0, 1), (1, 2), (1, 3), (1, 4), (1, 8), (1, 9), (1, 10), (1, 11), (1, 13), (3, 5), (3, 6), (4, 7), (4, 5), (5, 12), (11, 14)]","[ 1.00848740e+01  4.55187692e+00  3.41421356e+00  2.56227118e+00
  2.26672241e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  7.33656596e-01  5.85786438e-01
  4.83175022e-01  3.17423836e-01 -1.04137271e-15]",4
"(4, 12, 1)","[(0, 1), (1, 2), (1, 3), (1, 4), (1, 8), (1, 9), (1, 10), (1, 11), (1, 13), (3, 5), (3, 6), (4, 7), (4, 12), (5, 12), (11, 14)]","[ 1.00780764e+01  4.17008649e+00  3.55256498e+00  2.54059432e+00
  2.31110782e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  1.00000000e+00  5.18805696e-01
  4.96884482e-01  3.31879804e-01 -6.05209601e-16]",5
"(4, 9, 1)","[(0, 1), (1, 2), (1, 3), (1, 4), (1, 8), (1, 9), (1, 10), (1, 11), (1, 13), (3, 5), (3, 6), (4, 7), (4, 9), (5, 12), (11, 14)]","[1.00606140e+01 3.90872179e+00 3.83205783e+00 2.55491919e+00
 2.19511959e+00 1.57083127e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 6.75686049e-01 5.83143477e-01
 4.08115255e-01 2.10791511e-01 1.27679016e-16]",3
"(4, 14, 1)","[(0, 1), (1, 2), (1, 3), (1, 4), (1, 8), (1, 9), (1, 10), (1, 11), (1, 13), (3, 5), (3, 6), (4, 7), (4, 14), (5, 12), (11, 14)]","[ 1.00828875e+01  3.97487327e+00  3.76434012e+00  2.61023979e+00
  2.19460967e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  1.00000000e+00  6.69596285e-01
  4.93252733e-01  2.10200601e-01 -9.59776280e-16]",4
"(4, 11, 1)","[(0, 1), (1, 2), (1, 3), (1, 4), (1, 8), (1, 9), (1, 10), (1, 11), (1, 13), (3, 5), (3, 6), (4, 7), (4, 11), (5, 12), (11, 14)]","[1.00603381e+01 4.30277564e+00 3.88128411e+00 2.48704182e+00
 2.18978541e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 6.97224362e-01 6.70212684e-01
 5.01457564e-01 2.09880348e-01 5.14318915e-16]",3
"(4, 6, 1)","[(0, 1), (1, 2), (1, 3), (1, 4), (1, 8), (1, 9), (1, 10), (1, 11), (1, 13), (3, 5), (3, 6), (4, 7), (4, 6), (5, 12), (11, 14)]","[ 1.00836310e+01+0.00000000e+00j  4.12551878e+00+0.00000000e+00j
  3.56992578e+00+0.00000000e+00j  2.54663684e+00+0.00000000e+00j
  2.25473012e+00+0.00000000e+00j  1.20970205e+00+0.00000000e+00j
  1.00000000e+00+1.13899696e-17j  1.00000000e+00+0.00000000e+00j
  1.00000000e+00-1.13899696e-17j  1.00000000e+00+0.00000000e+00j
  1.00000000e+00+0.00000000e+00j  5.29558415e-01+0.00000000e+00j
  4.16735306e-01+0.00000000e+00j  2.63561751e-01+0.00000000e+00j
 -6.12566217e-16+0.00000000e+00j]",4
"(5, 13, 1)","[(0, 1), (1, 2), (1, 3), (1, 4), (1, 8), (1, 9), (1, 10), (1, 11), (1, 13), (3, 5), (3, 6), (4, 7), (5, 12), (5, 13), (11, 14)]","[ 1.00795570e+01  4.40310768e+00  2.91969187e+00  2.61803399e+00
  2.48346815e+00  1.56953801e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  6.71789102e-01  5.53207552e-01
  3.81966011e-01  3.19640640e-01 -3.08174243e-17]",4
"(5, 8, 1)","[(0, 1), (1, 2), (1, 3), (1, 4), (1, 8), (1, 9), (1, 10), (1, 11), (1, 13), (3, 5), (3, 6), (4, 7), (5, 12), (5, 8), (11, 14)]","[1.00795570e+01 4.40310768e+00 2.91969187e+00 2.61803399e+00
 2.48346815e+00 1.56953801e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 6.71789102e-01 5.53207552e-01
 3.81966011e-01 3.19640640e-01 1.02624288e-16]",4
"(5, 11, 1)","[(0, 1), (1, 2), (1, 3), (1, 4), (1, 8), (1, 9), (1, 10), (1, 11), (1, 13), (3, 5), (3, 6), (4, 7), (5, 12), (5, 11), (11, 14)]","[ 1.00848740e+01  4.55187692e+00  3.41421356e+00  2.56227118e+00
  2.26672241e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  7.33656596e-01  5.85786438e-01
  4.83175022e-01  3.17423836e-01 -2.62755914e-16]",4
"(5, 14, 1)","[(0, 1), (1, 2), (1, 3), (1, 4), (1, 8), (1, 9), (1, 10), (1, 11), (1, 13), (3, 5), (3, 6), (4, 7), (5, 12), (5, 14), (11, 14)]","[1.00603622e+01 4.51761130e+00 3.06411920e+00 2.54013243e+00
 2.41158550e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 6.48254629e-01
 4.68380868e-01 2.89553841e-01 2.21536181e-16]",5
