added,edges,eigenvalues,span_trees
"(3, 11, 1)","[(0, 2), (0, 3), (0, 4), (1, 2), (1, 7), (1, 8), (2, 3), (2, 4), (2, 5), (2, 6), (2, 11), (3, 5), (3, 12), (3, 11), (5, 6), (5, 8), (6, 7), (6, 13), (6, 14), (7, 9), (7, 11), (7, 13), (7, 14), (8, 9), (8, 10), (9, 10), (10, 12)]","[8.43153538e+00 7.09322401e+00 6.56266191e+00 5.73929658e+00
 4.98488825e+00 4.11051828e+00 3.53163481e+00 3.02664700e+00
 2.81133426e+00 2.13666794e+00 2.00000000e+00 1.76065911e+00
 9.15737227e-01 8.95195253e-01 3.52922671e-15]",570336
"(3, 14, 1)","[(0, 2), (0, 3), (0, 4), (1, 2), (1, 7), (1, 8), (2, 3), (2, 4), (2, 5), (2, 6), (2, 11), (3, 5), (3, 12), (3, 14), (5, 6), (5, 8), (6, 7), (6, 13), (6, 14), (7, 9), (7, 11), (7, 13), (7, 14), (8, 9), (8, 10), (9, 10), (10, 12)]","[ 8.46309640e+00  7.15150249e+00  6.63884491e+00  5.53167431e+00
  5.00203927e+00  4.11740066e+00  3.48586866e+00  3.11468609e+00
  2.72433193e+00  2.22262964e+00  1.88344631e+00  1.69048374e+00
  1.07890172e+00  8.95093868e-01 -2.00215154e-15]",616910
"(3, 6, 1)","[(0, 2), (0, 3), (0, 4), (1, 2), (1, 7), (1, 8), (2, 3), (2, 4), (2, 5), (2, 6), (2, 11), (3, 5), (3, 12), (3, 6), (5, 6), (5, 8), (6, 7), (6, 13), (6, 14), (7, 9), (7, 11), (7, 13), (7, 14), (8, 9), (8, 10), (9, 10), (10, 12)]","[ 8.48421986e+00  7.26106880e+00  6.72694543e+00  6.13974365e+00
  4.97656493e+00  4.05491976e+00  3.53258955e+00  2.94362433e+00
  2.39385504e+00  2.00000000e+00  1.89668180e+00  1.68956663e+00
  1.00471204e+00  8.95508165e-01 -2.60192537e-16]",491344
"(3, 13, 1)","[(0, 2), (0, 3), (0, 4), (1, 2), (1, 7), (1, 8), (2, 3), (2, 4), (2, 5), (2, 6), (2, 11), (3, 5), (3, 12), (3, 13), (5, 6), (5, 8), (6, 7), (6, 13), (6, 14), (7, 9), (7, 11), (7, 13), (7, 14), (8, 9), (8, 10), (9, 10), (10, 12)]","[ 8.46309640e+00  7.15150249e+00  6.63884491e+00  5.53167431e+00
  5.00203927e+00  4.11740066e+00  3.48586866e+00  3.11468609e+00
  2.72433193e+00  2.22262964e+00  1.88344631e+00  1.69048374e+00
  1.07890172e+00  8.95093868e-01 -1.79367846e-15]",616910
"(3, 8, 1)","[(0, 2), (0, 3), (0, 4), (1, 2), (1, 7), (1, 8), (2, 3), (2, 4), (2, 5), (2, 6), (2, 11), (3, 5), (3, 12), (3, 8), (5, 6), (5, 8), (6, 7), (6, 13), (6, 14), (7, 9), (7, 11), (7, 13), (7, 14), (8, 9), (8, 10), (9, 10), (10, 12)]","[ 8.53160137e+00  7.02395608e+00  6.51016540e+00  6.24571842e+00
  5.07429035e+00  4.10421594e+00  3.52962440e+00  2.96307938e+00
  2.38347898e+00  2.03365736e+00  2.00000000e+00  1.78168079e+00
  9.75669807e-01  8.42861730e-01 -7.36876895e-16]",502552
"(4, 8, 1)","[(0, 2), (0, 3), (0, 4), (1, 2), (1, 7), (1, 8), (2, 3), (2, 4), (2, 5), (2, 6), (2, 11), (3, 5), (3, 12), (4, 8), (5, 6), (5, 8), (6, 7), (6, 13), (6, 14), (7, 9), (7, 11), (7, 13), (7, 14), (8, 9), (8, 10), (9, 10), (10, 12)]","[8.49895125e+00 7.02274260e+00 6.62887823e+00 5.56364307e+00
 5.15737401e+00 4.13589283e+00 3.53594384e+00 3.04660278e+00
 2.68617731e+00 2.00000000e+00 1.87861726e+00 1.72342528e+00
 1.28234691e+00 8.39404638e-01 2.74396456e-15]",631352
"(4, 13, 1)","[(0, 2), (0, 3), (0, 4), (1, 2), (1, 7), (1, 8), (2, 3), (2, 4), (2, 5), (2, 6), (2, 11), (3, 5), (3, 12), (4, 13), (5, 6), (5, 8), (6, 7), (6, 13), (6, 14), (7, 9), (7, 11), (7, 13), (7, 14), (8, 9), (8, 10), (9, 10), (10, 12)]","[8.44646625e+00 7.09125917e+00 6.35139396e+00 5.17540966e+00
 5.02991745e+00 4.29552920e+00 3.83861924e+00 3.03405737e+00
 2.74283038e+00 2.28404774e+00 1.88136101e+00 1.74532733e+00
 1.21113446e+00 8.72646776e-01 1.28118268e-15]",718094
"(4, 10, 1)","[(0, 2), (0, 3), (0, 4), (1, 2), (1, 7), (1, 8), (2, 3), (2, 4), (2, 5), (2, 6), (2, 11), (3, 5), (3, 12), (4, 10), (5, 6), (5, 8), (6, 7), (6, 13), (6, 14), (7, 9), (7, 11), (7, 13), (7, 14), (8, 9), (8, 10), (9, 10), (10, 12)]","[8.44583950e+00 7.02258360e+00 6.32580366e+00 5.53414909e+00
 5.16932824e+00 4.60108991e+00 3.53510562e+00 3.00319088e+00
 2.38768431e+00 2.00000000e+00 1.94507129e+00 1.68858839e+00
 1.50490294e+00 8.36662560e-01 8.39090970e-16]",690272
"(4, 5, 1)","[(0, 2), (0, 3), (0, 4), (1, 2), (1, 7), (1, 8), (2, 3), (2, 4), (2, 5), (2, 6), (2, 11), (3, 5), (3, 12), (4, 5), (5, 6), (5, 8), (6, 7), (6, 13), (6, 14), (7, 9), (7, 11), (7, 13), (7, 14), (8, 9), (8, 10), (9, 10), (10, 12)]","[8.42944756e+00 7.05039683e+00 6.83923849e+00 5.26545057e+00
 4.96889987e+00 4.07722489e+00 3.72077510e+00 3.45960870e+00
 2.70999419e+00 2.00000000e+00 1.89722900e+00 1.68980652e+00
 1.04767033e+00 8.44257938e-01 1.94323743e-15]",571880
"(4, 7, 1)","[(0, 2), (0, 3), (0, 4), (1, 2), (1, 7), (1, 8), (2, 3), (2, 4), (2, 5), (2, 6), (2, 11), (3, 5), (3, 12), (4, 7), (5, 6), (5, 8), (6, 7), (6, 13), (6, 14), (7, 9), (7, 11), (7, 13), (7, 14), (8, 9), (8, 10), (9, 10), (10, 12)]","[ 8.80790186e+00  7.59448602e+00  6.30967710e+00  5.21283425e+00
  4.99203842e+00  4.04931452e+00  3.78422079e+00  2.95365895e+00
  2.51814432e+00  2.00000000e+00  1.97077169e+00  1.68750145e+00
  1.25780170e+00  8.61648930e-01 -6.27731925e-16]",601576
"(4, 12, 1)","[(0, 2), (0, 3), (0, 4), (1, 2), (1, 7), (1, 8), (2, 3), (2, 4), (2, 5), (2, 6), (2, 11), (3, 5), (3, 12), (4, 12), (5, 6), (5, 8), (6, 7), (6, 13), (6, 14), (7, 9), (7, 11), (7, 13), (7, 14), (8, 9), (8, 10), (9, 10), (10, 12)]","[ 8.45572817e+00  7.03679392e+00  6.31732901e+00  5.47750065e+00
  4.98694495e+00  4.07598953e+00  3.77132662e+00  3.00000000e+00
  2.84585082e+00  2.24762633e+00  2.00000000e+00  1.76620675e+00
  1.18046470e+00  8.38238542e-01 -1.84076516e-15]",705768
